Date, Reference Ozone Concentration (ppb),Temperature (C),Relative Humidity,Sensor Ozone Signal (1/uV)
8/30/14 22:15,53.53333333,39.4531746,12.4284127,12.497768
8/30/14 22:30,46.6,39.58174603,12.17253968,12.478213
8/30/14 22:45,41.6,39.36936508,12.28984127,11.843886
8/30/14 23:00,38.33333333,38.85857143,12.59079365,11.767123
8/30/14 23:15,40.46666667,37.97063492,13.22571429,11.81634
8/30/14 23:30,44.66666667,36.55746032,16.02444444,12.150903
8/30/14 23:45,43.53333333,34.50126984,17.2015873,12.707249
8/31/14 0:00,36.6,33.51269841,18.29492063,12.115851
8/31/14 0:15,31.46666667,33.11126984,18.77777778,11.107193
8/31/14 0:30,30.86666667,32.85857143,18.41746032,11.015141
8/31/14 0:45,23.73333333,32.5615873,19.33920635,10.722127
8/31/14 1:00,23.93333333,32.25365079,20.19507937,10.033764
8/31/14 1:15,18.13333333,32.04380952,19.7168254,10.081936
8/31/14 1:30,16.53333333,31.84396825,19.47492063,9.46927
8/31/14 1:45,21.46666667,31.72428571,19.41444444,10.000159
8/31/14 2:00,30.13333333,31.56269841,19.64,11.554969
8/31/14 2:15,33.26666667,30.73380952,23.14444444,11.711996
8/31/14 2:30,34.86666667,29.45428571,23.53793651,12.039674
8/31/14 2:45,29.06666667,28.95714286,23.50555556,11.287086
8/31/14 3:00,20.2,28.89047619,23.23492063,10.422871
8/31/14 3:15,24.86666667,28.98,22.75555556,10.839829
8/31/14 3:30,24.6,29.05952381,22.70666667,10.77144
8/31/14 3:45,25.66666667,28.85539683,22.77047619,10.966248
8/31/14 4:00,13,28.41349206,23.47190476,9.500113
8/31/14 4:15,17.06666667,27.92873016,24.40730159,9.247435
8/31/14 4:30,18.26666667,27.43365079,25.41095238,9.720122
8/31/14 4:45,16.66666667,27.09619048,26.60698413,9.537795
8/31/14 5:00,10.33333333,26.78269841,27.2515873,8.271733
8/31/14 5:15,11.46666667,26.34428571,28.16444444,8.497781
8/31/14 5:30,20.06666667,25.9631746,28.47920635,9.656652
8/31/14 5:45,17.53333333,25.57984127,29.15730159,9.839292
